Epoch,TrainError,ValidError,TestError
1,93.05431,89.33671,88.8994
2,87.65592,85.43372,84.4656
3,83.81043,82.27043,82.0823
4,79.83734,77.01534,76.9596
5,75.58945,73.39295,73.7609
6,71.28206,69.18376,70.1267
7,66.29177,63.16337,64.7110
8,59.75978,56.65828,59.1132
9,53.90789,51.04599,54.3943
10,48.651110,45.969410,50.4592
11,43.748611,41.326511,45.7007
12,38.888612,36.479612,40.8393
13,33.957713,31.607113,36.5954
14,29.514314,27.142914,32.7237
15,25.578115,23.750015,29.2241
16,22.154816,20.153116,26.2391
17,19.366417,17.729617,23.8559
18,17.229718,15.816318,22.0903
19,15.427319,14.260219,20.4513
20,13.868720,12.933720,19.2478
21,12.466021,11.913321,18.1156
22,11.304122,10.918422,17.0784
23,10.309523,9.795923,16.3658
24,9.419624,8.928624,15.4632
25,8.637525,8.086725,14.6081
26,7.872426,7.449026,13.8321
27,7.243327,6.964327,13.1275
28,6.758728,6.454128,12.6445
29,6.319429,6.173529,12.2011
30,5.894430,5.510230,11.7815
31,5.460831,5.153131,11.4093
32,5.075432,4.872432,11.0689
33,4.746733,4.617333,10.7047
34,4.446334,4.336734,10.4196
35,4.211135,4.107135,10.1821
36,3.953236,3.928636,9.9050
37,3.641537,3.775537,9.5804
38,3.335438,3.571438,9.3032
39,3.117239,3.469439,9.1686
40,2.910340,3.214340,9.0024
41,2.740341,3.010241,8.8836
42,2.587342,2.882742,8.7173
43,2.408843,2.755143,8.4798
44,2.252944,2.627644,8.3927
45,2.145245,2.525545,8.2740
46,2.031946,2.474546,8.1789
47,1.941247,2.346947,8.0918
48,1.844848,2.295948,8.0523
49,1.731549,2.219449,7.9493
50,1.672050,2.168450,7.8385
51,1.601151,2.142951,7.7276
52,1.524652,2.091852,7.6801
53,1.450953,2.040853,7.5851
54,1.368754,1.989854,7.5376
55,1.309255,1.989855,7.5059
56,1.266756,1.887856,7.4980
57,1.215757,1.811257,7.4268
58,1.184558,1.785758,7.3951
59,1.136459,1.811259,7.3397
60,1.108060,1.811260,7.2684
61,1.057061,1.785761,7.1971
62,1.023062,1.760262,7.1417
63,0.983363,1.734763,7.0942
64,0.955064,1.734764,7.0625
65,0.935265,1.709265,7.0230
66,0.898366,1.658266,6.9755
67,0.870067,1.581667,6.9359
68,0.844568,1.505168,6.9359
69,0.816169,1.454169,6.8963
70,0.776570,1.479670,6.8725
71,0.753871,1.454171,6.8092
72,0.736872,1.403172,6.8013
73,0.717073,1.403173,6.7538
74,0.685874,1.352074,6.7063
75,0.671675,1.352075,6.6667
76,0.651876,1.326576,6.6429
77,0.637677,1.224577,6.6033
78,0.617878,1.224578,6.5796
79,0.597979,1.173579,6.5717
80,0.586680,1.148080,6.5558
81,0.575381,1.122481,6.5321
82,0.549882,1.122482,6.5083
83,0.541383,1.096983,6.5004
84,0.532884,1.045984,6.4846
85,0.529985,1.020485,6.4450
86,0.524386,1.020486,6.4529
87,0.510187,0.994987,6.4608
88,0.507388,0.994988,6.4450
89,0.507389,0.969489,6.4450
90,0.493190,0.969490,6.4291
91,0.484691,0.943991,6.3895
92,0.481892,0.969492,6.3658
93,0.467693,0.943993,6.3262
94,0.459194,0.943994,6.3183
95,0.439295,0.943995,6.3262
96,0.427996,0.943996,6.2945
97,0.416697,0.918497,6.2866
98,0.405298,0.918498,6.2866
99,0.391199,0.918499,6.2708
100,0.3882100,0.9184100,6.2470
101,0.3769101,0.8929101,6.2391
102,0.3712102,0.8929102,6.2074
103,0.3656103,0.8673103,6.1758
104,0.3542104,0.8673104,6.1758
105,0.3429105,0.8673105,6.1758
106,0.3231106,0.8673106,6.1758
107,0.3174107,0.8673107,6.1758
108,0.3089108,0.8418108,6.1520
109,0.3061109,0.8418109,6.1362
110,0.2947110,0.8418110,6.1283
111,0.2862111,0.8163111,6.1203
112,0.2805112,0.8163112,6.1124
113,0.2805113,0.8163113,6.0887
114,0.2720114,0.8163114,6.0808
115,0.2635115,0.8163115,6.0887
116,0.2522116,0.8163116,6.0728
117,0.2494117,0.7908117,6.0570
118,0.2409118,0.7908118,6.0253
119,0.2409119,0.7908119,6.0253
120,0.2409120,0.7908120,6.0174
121,0.2267121,0.7908121,6.0095
122,0.2182122,0.7398122,5.9778
123,0.2182123,0.7143123,5.9778
124,0.2154124,0.7143124,5.9620
125,0.2154125,0.7143125,5.9541
126,0.2097126,0.6888126,5.9620
127,0.2040127,0.6888127,5.9620
128,0.2012128,0.6888128,5.9620
129,0.1984129,0.6888129,5.9382
130,0.1927130,0.6888130,5.9462
131,0.1899131,0.6888131,5.9541
132,0.1899132,0.6888132,5.9541
133,0.1842133,0.6888133,5.9541
134,0.1842134,0.6888134,5.9541
135,0.1814135,0.6888135,5.9620
