Epoch,TrainError,ValidError,TestError
1,45.85361,7.32821,19.8971
2,5.45972,3.01812,13.3729
3,2.46573,1.87083,12.0823
4,1.34254,1.10594,11.1243
5,0.87865,1.07495,10.4513
6,0.52376,0.74426,11.4093
7,0.53177,0.96127,11.0847
8,0.31128,0.47558,9.3349
9,0.28489,0.56859,9.4774
10,0.217110,0.651210,9.2399
11,0.197511,0.320411,9.2716
12,0.122912,0.248112,8.8282
13,0.040213,0.227413,8.5748
14,0.027614,0.227414,8.7807
15,0.008015,0.175715,8.9311
16,0.001116,0.186016,8.9707
17,0.001117,0.186017,9.1211
18,0.008018,0.175718,8.9311
19,0.001119,0.186019,9.0103
20,0.000020,0.196420,9.0340
21,0.000021,0.186021,9.0657
22,0.000022,0.175722,9.0816
23,0.000023,0.186023,9.0974
24,0.000024,0.186024,9.1370
25,0.000025,0.186025,9.1291
26,0.000026,0.186026,9.1370
27,0.000027,0.186027,9.1449
28,0.000028,0.186028,9.1211
29,0.000029,0.186029,9.1053
30,0.000030,0.186030,9.1053
31,0.000031,0.186031,9.1053
32,0.000032,0.186032,9.0895
33,0.000033,0.186033,9.0974
34,0.000034,0.186034,9.0974
35,0.000035,0.175735,9.0974
36,0.000036,0.186036,9.1132
37,0.000037,0.175737,9.1132
38,0.000038,0.175738,9.0974
39,0.000039,0.165439,9.1132
40,0.000040,0.165440,9.1132
41,0.000041,0.165441,9.1528
42,0.000042,0.165442,9.1686
43,0.000043,0.165443,9.1686
44,0.000044,0.165444,9.2003
45,0.000045,0.165445,9.2003
46,0.000046,0.165446,9.2003
47,0.000047,0.165447,9.2082
48,0.000048,0.165448,9.2082
49,0.000049,0.165449,9.2241
50,0.000050,0.165450,9.2162
51,0.000051,0.165451,9.2320
52,0.000052,0.165452,9.2241
53,0.000053,0.165453,9.2241
54,0.000054,0.165454,9.2320
55,0.000055,0.165455,9.2399
56,0.000056,0.165456,9.2399
57,0.000057,0.165457,9.2399
58,0.000058,0.165458,9.2399
59,0.000059,0.165459,9.2399
60,0.000060,0.165460,9.2557
61,0.000061,0.165461,9.2557
62,0.000062,0.165462,9.2637
63,0.000063,0.165463,9.2795
64,0.000064,0.165464,9.2795
65,0.000065,0.165465,9.2874
66,0.000066,0.165466,9.2953
67,0.000067,0.165467,9.2953
68,0.000068,0.165468,9.2874
69,0.000069,0.165469,9.2795
70,0.000070,0.165470,9.2795
71,0.000071,0.165471,9.2795
72,0.000072,0.165472,9.2795
73,0.000073,0.165473,9.2795
74,0.000074,0.165474,9.2795
75,0.000075,0.165475,9.2874
76,0.000076,0.165476,9.2953
77,0.000077,0.165477,9.2874
78,0.000078,0.165478,9.2953
79,0.000079,0.165479,9.2874
80,0.000080,0.165480,9.2795
81,0.000081,0.165481,9.2874
82,0.000082,0.165482,9.2953
83,0.000083,0.165483,9.3191
84,0.000084,0.165484,9.3032
85,0.000085,0.165485,9.3112
86,0.000086,0.165486,9.3032
87,0.000087,0.165487,9.2953
88,0.000088,0.165488,9.2953
89,0.000089,0.165489,9.2953
90,0.000090,0.165490,9.3032
91,0.000091,0.165491,9.3032
92,0.000092,0.165492,9.3032
93,0.000093,0.165493,9.3112
94,0.000094,0.165494,9.3112
95,0.000095,0.165495,9.3191
96,0.000096,0.165496,9.3270
97,0.000097,0.165497,9.3191
98,0.000098,0.165498,9.3191
99,0.000099,0.165499,9.3191
100,0.0000100,0.1654100,9.3112
