Epoch,TrainError,ValidError,TestError
1,79.63051,59.54081,62.3832
2,60.35202,47.57652,51.7656
3,50.45913,36.37763,41.3381
4,39.50074,25.35714,30.6176
5,29.72125,16.55615,21.5281
6,21.07806,9.97456,16.6271
7,15.68817,6.40317,13.1433
8,12.05798,4.71948,11.1797
9,9.72009,4.08169,10.2454
10,8.263410,3.443910,9.2716
11,6.894711,2.627611,8.5352
12,5.942512,2.372412,7.9810
13,5.344613,2.219413,7.4584
14,4.726814,1.887814,6.9913
15,4.290415,1.760215,6.6350
16,3.882316,1.632716,6.4687
17,3.423317,1.454117,6.2866
18,3.281618,1.377618,6.0570
19,3.032219,1.224519,5.8670
20,2.816820,1.122420,5.6690
21,2.675121,1.148021,5.7641
22,2.439922,1.199022,5.5344
23,2.335123,1.045923,5.4157
24,2.261424,0.969424,5.3365
25,2.060225,1.020425,5.2890
26,1.955326,0.969426,5.2811
27,1.946827,0.841827,5.0990
28,1.839228,0.892928,5.0040
29,1.592629,0.867329,4.9565
30,1.527430,0.790830,4.9406
31,1.555831,0.867331,4.8694
32,1.504832,0.867332,4.7664
33,1.567133,0.841833,4.7268
34,1.397134,0.816334,4.6793
35,1.402735,0.790835,4.6318
36,1.261136,0.688836,4.6635
37,1.235537,0.765337,4.4101
38,1.221438,0.688838,4.6081
39,1.150539,0.714339,4.3072
40,1.201540,0.637840,4.3626
41,1.150541,0.586741,4.3864
42,1.074042,0.688842,4.3705
43,1.079743,0.688843,4.4181
44,0.915344,0.586744,4.1330
45,0.870045,0.663345,4.0855
46,0.994746,0.510246,4.1489
47,0.878547,0.637847,4.0380
48,0.912548,0.561248,4.2201
49,0.912549,0.612249,4.1330
50,0.748150,0.484750,4.1647
51,0.887051,0.535751,4.1805
52,0.753852,0.535752,4.0697
53,0.770853,0.510253,4.0459
54,0.728354,0.535754,3.9667
55,0.717055,0.535755,4.0143
56,0.711356,0.510256,4.0222
57,0.677357,0.535757,3.9667
58,0.705658,0.561258,3.9351
59,0.697159,0.484759,3.9034
60,0.589460,0.459260,3.8797
61,0.549861,0.433761,3.8955
62,0.660362,0.459262,3.8084
63,0.640463,0.433763,3.8242
64,0.580964,0.459264,3.9826
65,0.626365,0.484765,3.8321
66,0.566866,0.433766,3.7134
67,0.603667,0.484767,3.8797
68,0.521468,0.433768,3.7926
69,0.549869,0.408269,3.6896
70,0.609370,0.459270,3.6184
71,0.541371,0.433771,3.7213
72,0.512972,0.408272,3.7371
73,0.447773,0.357173,3.7371
74,0.439274,0.382774,3.7134
75,0.473275,0.382775,3.7213
76,0.456276,0.459276,3.6580
77,0.510177,0.433777,3.6659
78,0.467678,0.408278,3.6025
79,0.453479,0.382779,3.6659
80,0.405280,0.433780,3.6738
81,0.439281,0.433781,3.6500
82,0.439282,0.357182,3.6738
83,0.393983,0.306183,3.7688
84,0.419484,0.382784,3.6580
85,0.376985,0.357185,3.6500
86,0.368486,0.357186,3.6184
87,0.396787,0.382787,3.5788
88,0.399688,0.382788,3.5709
89,0.393989,0.331689,3.7609
90,0.402490,0.382790,3.5392
91,0.368491,0.382791,3.5550
92,0.393992,0.408292,3.5392
93,0.334493,0.433793,3.5629
94,0.334494,0.382794,3.5550
95,0.359995,0.357195,3.6817
96,0.266496,0.357196,3.6184
97,0.266497,0.306197,3.5471
98,0.277798,0.357198,3.4996
99,0.331699,0.306199,3.4996
100,0.3542100,0.3316100,3.4521
101,0.3146101,0.3571101,3.5629
102,0.2834102,0.4337102,3.6659
103,0.2777103,0.4847103,3.6105
104,0.3004104,0.3827104,3.6263
105,0.3061105,0.3571105,3.6580
106,0.2805106,0.3316106,3.6342
107,0.2862107,0.3827107,3.5234
108,0.3174108,0.3061108,3.5788
109,0.3032109,0.3571109,3.5550
110,0.2720110,0.3571110,3.6263
