Epoch,TrainError,ValidError,TestError
1,85.46811,68.01021,69.1449
2,66.54952,56.02042,59.9921
3,59.01723,50.28063,53.6500
4,53.97304,45.51024,50.5780
5,49.55795,39.87245,46.3262
6,45.48866,34.64296,41.9715
7,40.98567,29.92357,38.3056
8,36.80298,24.33678,33.6025
9,32.33119,21.19909,30.7126
10,28.652810,17.091810,26.9675
11,25.121911,13.928611,24.4101
12,22.098212,10.918412,22.4782
13,19.729113,9.056113,19.6516
14,17.626414,7.729614,18.1869
15,15.707915,6.887815,17.0230
16,14.132316,5.892916,15.5186
17,12.789117,5.204117,14.3943
18,11.579018,4.846918,13.5867
19,10.663719,4.464319,12.7237
20,9.745520,3.750020,12.2565
21,8.991721,3.571421,11.5044
22,8.283322,3.494922,11.3302
23,7.708023,3.035723,10.4355
24,7.027924,2.576524,10.1742
25,6.418625,2.627625,10.3563
26,6.172126,2.525526,9.7150
27,5.752727,2.270427,9.6120
28,5.307828,1.989828,8.9865
29,5.061229,1.913329,9.1291
30,4.905430,1.785730,9.0340
31,4.673031,1.581631,8.8836
32,4.264932,1.377632,8.3610
33,4.157233,1.301033,8.4086
34,3.854034,1.122434,8.1948
35,3.837035,1.224535,7.8781
36,3.633036,1.045936,7.8939
37,3.426137,1.096937,7.5693
38,3.207938,1.122438,7.6010
39,3.086039,0.943939,7.1734
40,2.984040,0.816340,7.3238
41,2.958541,0.867341,7.1655
42,2.859342,0.739842,6.8646
43,2.731843,0.918443,6.9755
44,2.610044,0.816344,6.9517
45,2.420145,0.765345,7.0230
46,2.510846,0.535746,6.7379
47,2.335147,0.637847,6.7538
48,2.165048,0.765348,6.6112
49,2.142449,0.688849,6.8409
50,2.108450,0.561250,6.7063
